ID,RO_E15,RO_G15,RO_TOTAL,P_RO_E15,P_RO_G15,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP
C02025,186,82,268,0.694029851,0.305970149,0.773187834,0.014029619,0.049103663,0.129384261
C02026,190,56,246,0.772357724,0.227642276,0.71640736,0.116690241,0.031824611,0.10749646
C02027,256,43,299,0.856187291,0.143812709,0.741707847,0.088214525,0.091037404,0.057868735
C02028,273,71,344,0.793604651,0.206395349,0.873962263,0.021886794,0.054339622,0.036226415
C02029,248,44,292,0.849315068,0.150684932,0.758572439,0.060181942,0.095871235,0.062981103
C02030,238,55,293,0.812286689,0.187713311,0.846938776,0.023191095,0.056586271,0.054730983
C02031,425,59,484,0.878099174,0.121900826,0.881426202,0.035655058,0.038971808,0.029021559
C02032,193,42,235,0.821276596,0.178723404,0.758928575,0.070535727,0.095535718,0.053571407
C02033,446,86,532,0.838345865,0.161654135,0.860732987,0.02617801,0.054450261,0.043979057
C02034,309,34,343,0.900874636,0.099125364,0.909090902,0.010540186,0.035573122,0.031620557
C02035,237,44,281,0.84341637,0.15658363,0.777863776,0.07120743,0.10139319,0.034829722
C02036,228,50,278,0.820143885,0.179856115,0.834394908,0.028662421,0.073248407,0.049893841
C02037,282,81,363,0.776859504,0.223140496,0.862579281,0.034883721,0.039112051,0.039112051
C02038,322,54,376,0.856382979,0.143617021,0.874396141,0.014492752,0.050241544,0.043478259
C02039,207,44,251,0.824701195,0.175298805,0.773373984,0.06097561,0.080284553,0.06300813
C02040,211,41,252,0.837301587,0.162698413,0.68957345,0.087677731,0.136848342,0.061018958
C02041,181,29,210,0.861904762,0.138095238,0.852815895,0.040227163,0.056318026,0.04164696
C02042,210,69,279,0.752688172,0.247311828,0.725533078,0.077091307,0.113176599,0.061782395
C02043,301,54,355,0.847887324,0.152112676,0.764740221,0.054874489,0.093987157,0.063047287
C02044,190,42,232,0.818965517,0.181034483,0.909722222,0.012152777,0.046875001,0.026041666
