full_text,precinct,ward,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,TOTVOTES,LIGHTFOOT,PRECKWINKLE,P_LIGHT,P_PRECK,
2011,11,2,0.722537949,0.049242406,0.170454499,0.04071969,357,307,50,0.859943978,0.140056022,
2012,12,2,0.541862656,0.366886168,0.026340546,0.04985889,308,252,56,0.818181818,0.181818182,
2013,13,2,0.866374589,0.018619934,0.061336254,0.039430449,317,256,61,0.807570978,0.192429022,
2014,14,2,0.78501629,0.01791531,0.048045601,0.127035828,349,268,81,0.767908309,0.232091691,
2015,15,2,0.749999983,0.093543053,0.025662254,0.115066233,279,213,66,0.76344086,0.23655914,
2016,16,2,0.694330326,0.082169265,0.059161873,0.130649136,234,177,57,0.756410256,0.243589744,
2017,17,2,0.868634681,0.010332103,0.030258306,0.065682659,379,281,98,0.741424802,0.258575198,
2018,18,2,0.804950503,0.048514853,0.093069301,0.034653463,271,209,62,0.771217712,0.228782288,
2019,19,2,0.796414853,0.035851472,0.09346991,0.055057618,290,241,49,0.831034483,0.168965517,
2020,20,2,0.858974375,0.016025643,0.058760668,0.050213673,226,191,35,0.845132743,0.154867257,
2021,21,2,0.781774588,0.011990407,0.033573148,0.155075922,304,229,75,0.753289474,0.246710526,
2022,22,2,0.855702092,0.011636929,0.05042669,0.067494181,346,295,51,0.852601156,0.147398844,
2023,23,2,0.930107527,0.025089606,0.012544803,0.023297491,279,240,39,0.860215054,0.139784946,
2024,24,2,0.80829422,0.066510165,0.04460094,0.055555552,288,239,49,0.829861111,0.170138889,
2025,25,2,0.773187834,0.014029619,0.049103663,0.129384261,286,222,64,0.776223776,0.223776224,
2026,26,2,0.71640736,0.116690241,0.031824611,0.10749646,246,210,36,0.853658537,0.146341463,
2027,27,2,0.741707846,0.088214525,0.091037404,0.057868735,266,231,35,0.868421053,0.131578947,
2028,28,2,0.873962263,0.021886794,0.054339622,0.036226415,267,217,50,0.812734082,0.187265918,
2029,29,2,0.758572439,0.060181942,0.095871235,0.062981103,248,217,31,0.875,0.125,
2030,30,2,0.846938776,0.023191095,0.056586271,0.054730983,230,196,34,0.852173913,0.147826087,
2031,31,2,0.881426203,0.035655058,0.038971808,0.029021559,425,357,68,0.84,0.16,
2032,32,2,0.758928575,0.070535727,0.095535718,0.053571407,180,150,30,0.833333333,0.166666667,
2033,33,2,0.860732987,0.02617801,0.054450261,0.043979057,492,414,78,0.841463415,0.158536585,
2034,34,2,0.909090902,0.010540186,0.035573122,0.031620557,306,263,43,0.859477124,0.140522876,
2035,35,2,0.777863775,0.07120743,0.10139319,0.034829722,268,237,31,0.884328358,0.115671642,
2036,36,2,0.834394908,0.028662421,0.073248407,0.049893841,290,235,55,0.810344828,0.189655172,
