PRECINCT,TOTVOTE,P_CHARLES,P_GEARY,P_STAMB,P_LEITA,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
4104,161,0.186335404,0.124223602,0.124223602,0.565217391,0.377089018,0.589983613,0.00849735,0.024430019,0.586840882,0.006520005,0.272367776,0.134271338
4108,130,0.138461538,0.184615385,0.092307692,0.584615385,0.07749962,0.894695288,0.011246987,0.016558105,0.895072344,0.01639568,0.045526758,0.043005217
4111,245,0.175510204,0.248979592,0.159183673,0.416326531,0.122685057,0.859928121,0.000918163,0.016468659,0.855077948,0.001987715,0.091830562,0.051103775
4112,313,0.191693291,0.230031949,0.095846645,0.482428115,0.07156643,0.89143386,0.005493897,0.031505813,0.87051743,0.013827441,0.028552891,0.087102238
4114,221,0.208144796,0.180995475,0.095022624,0.515837104,0.104456576,0.859629022,0.015844242,0.02007016,0.913864106,0.006128405,0.065957872,0.014049617
4115,115,0.226086957,0.234782609,0.147826087,0.391304348,0.091321015,0.889562832,0.008460569,0.010655584,0.93010067,0.018075939,0.018789473,0.033033918
4402,147,0.170068027,0.224489796,0.108843537,0.496598639,0.109315435,0.848545063,0.009354171,0.032785331,0.862816213,0.009200032,0.085740818,0.042242937
4501,43,0.11627907,0.348837209,0.11627907,0.418604651,0.121063784,0.824799053,0.016967148,0.037170015,0.915501282,0.000104014,0.013065409,0.071329295
4503,36,0.638888889,0.083333333,0.027777778,0.25,0.071404358,0.885552512,0.0142741,0.02876903,0.943257892,0.0080969,0.040540694,0.008104514
4601,119,0.109243697,0.159663866,0.067226891,0.663865546,0.066362252,0.886297606,0.006729748,0.040610394,0.672796321,0,0.250704641,0.076499039
4602,99,0.151515152,0.212121212,0.131313131,0.505050505,0.20849535,0.762095664,0.014392278,0.015016708,0.861395831,0.012077261,0.054808634,0.071718274
4603,225,0.111111111,0.275555556,0.142222222,0.471111111,0.093781784,0.869160988,0.009816082,0.027241146,0.911136208,0.020849173,0.013454646,0.054559974
4604,82,0.195121951,0.207317073,0.097560976,0.5,0.077250518,0.889245453,0.001183302,0.032320727,0.882513291,0.016610862,0.061269129,0.039606718
4605,1,0,0,0,1,0.061109159,0.838146666,0.001030797,0.099713378,0.845744681,0,0.135638298,0.018617021
4608,25,0.16,0.28,0.04,0.52,0.050214424,0.949765695,3.61E-06,1.63E-05,0.864504927,0.014016657,0.060738806,0.060739609
4609,111,0.189189189,0.081081081,0.216216216,0.513513514,0.257356938,0.707636635,0.007037804,0.027968623,0.605504838,0.000542327,0.291811779,0.102141055
4625,1,0,1,0,0,0.212714056,0.786971735,3.56E-05,0.000278609,0.899640876,0.025089798,0.007169725,0.068099601
4626,6,0,0,0.333333333,0.666666667,0.082578992,0.896955606,0,0.020465402,0.734631729,0,0.200144993,0.065223278
4627,75,0.16,0.12,0.173333333,0.546666667,0.177950301,0.799735372,6.92E-05,0.022245127,0.934524508,4.35E-07,0.037535435,0.027939622
5010,59,0.13559322,0.050847458,0.203389831,0.610169492,0.082090424,0.878023859,0.005161967,0.03472375,0.881901133,0,0.099042363,0.019056504
5016,108,0.083333333,0.296296296,0.185185185,0.435185185,0.16414321,0.795128121,0.011996846,0.028731823,0.933080063,0.012739617,0.025498753,0.028681566
