PRECINCT,TOTVOTE,P_DANIEL,P_SGONZAL,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
3305,150,0.813333333,0.186666667,0.096357739,0.878970928,0.004801114,0.019870219,0.816246673,0.024722113,0.10243955,0.056591664
3306,129,0.697674419,0.302325581,0.190451109,0.792250403,0.004736969,0.012561519,0.862072471,0.008192393,0.085055395,0.044679741
3308,198,0.661616162,0.338383838,0.299859919,0.672611904,0.001031199,0.026496978,0.651452444,0.034537159,0.301113797,0.0128966
3309,151,0.609271523,0.390728477,0.385014869,0.270512182,0.306288842,0.038184107,0.264268404,0.450166535,0.244283461,0.0412816
3310,179,0.603351955,0.396648045,0.482595067,0.252061471,0.168702167,0.096641295,0.321713615,0.198200432,0.364820505,0.115265449
3311,363,0.666666667,0.333333333,0.251023224,0.713800444,0.01614009,0.019036242,0.680767398,0.005084618,0.295278517,0.018869468
3313,52,0.75,0.25,0.082527314,0.895818584,0.01283893,0.008815172,0.916206035,0.035183926,0.001130577,0.047479462
3401,65,0.630769231,0.369230769,0.336389063,0.181154663,0.43502532,0.047430954,0.199907486,0.295219106,0.439091352,0.065782057
3504,4,0.735848646,0.264151354,0.049756442,0.85637471,0,0.093868848,0.898197079,0.003823261,0.096132439,0.001847221
3601,17,0.588235294,0.411764706,0.284762141,0.697292073,1.75E-05,0.017928286,0.426824508,0.024442523,0.536524109,0.01220886
3602,305,0.731147541,0.268852459,0.053765263,0.910383596,0.007593318,0.028257823,0.854934785,0.019474635,0.067123651,0.05846693
3605,328,0.780487805,0.219512195,0.112537886,0.85257757,0.012044891,0.022839653,0.895832708,0.00744176,0.078540336,0.018185196
3701,149,0.731543624,0.268456376,0.337211206,0.326187062,0.305059393,0.031542339,0.391554911,0.28358496,0.262937092,0.061923037
3901,268,0.723880597,0.276119403,0.073842394,0.893962458,0.005454419,0.026740729,0.874166911,0.031890561,0.053098018,0.040844511
3902,90,0.588888889,0.411111111,0.475075999,0.48059243,0.022164615,0.022166956,0.595400139,0,0.387908988,0.016690873
3903,408,0.759803922,0.240196078,0.085787057,0.882525286,0.009227366,0.022460291,0.861801388,0.020027089,0.057693776,0.060477747
3904,56,0.767857143,0.232142857,0.034054707,0.923316155,0.019180094,0.023449044,0.904295448,0.007036561,0.029196292,0.059471699
3905,70,0.771428571,0.228571429,0.15906742,0.797915413,0.009241623,0.033775544,0.901389803,0.031754052,0.017920513,0.048935632
4001,56,0.553571429,0.446428571,0.355316447,0.216498322,0.386522774,0.041662457,0.235200239,0.485473559,0.24138802,0.037938182
4002,75,0.666666667,0.333333333,0.660250628,0.302400517,0.01866158,0.018687275,0.317582007,0.084761783,0.567873448,0.029782761
4003,235,0.778723404,0.221276596,0.301883803,0.665168307,0.009463118,0.023484772,0.715538935,0.018138307,0.229396141,0.036926617
4005,162,0.660493827,0.339506173,0.18370307,0.789457025,0.001647545,0.02519236,0.855325928,0.012989048,0.130982651,0.000702374
4101,70,0.657142857,0.342857143,0.255805735,0.701011765,0.012645413,0.030537087,0.853015568,0.01688221,0.028155383,0.101946839
4102,189,0.698412698,0.301587302,0.030519582,0.947085095,0.003936106,0.018459217,0.944757057,0.00711163,0.031656873,0.01647444
4104,148,0.763513514,0.236486486,0.377089022,0.589983611,0.008497349,0.024430018,0.586863602,0.006521855,0.272341927,0.134272615
4105,94,0.64893617,0.35106383,0.489466724,0.488725613,0.008576566,0.013231097,0.565824606,0.008082053,0.407989516,0.018103825
4106,167,0.658682635,0.341317365,0.156571799,0.811980575,0.00785727,0.023590356,0.88599873,0.010197951,0.09072893,0.013074388
4108,163,0.699386503,0.300613497,0.077499621,0.894695286,0.011246989,0.016558104,0.895087448,0.01639447,0.045518774,0.042999308
4109,342,0.695906433,0.304093567,0.541551904,0.441919032,0.003333005,0.013196059,0.545212858,0.00139437,0.432962344,0.020430428
4111,213,0.76056338,0.23943662,0.122685053,0.859928124,0.000918163,0.01646866,0.855070408,0.001981632,0.091844376,0.051103584
4112,363,0.707988981,0.292011019,0.071566425,0.891433864,0.005493897,0.031505814,0.870510452,0.013827361,0.028550692,0.087111495
4114,68,0.882352941,0.117647059,0.043149946,0.912257255,0.013840175,0.030752624,0.917958741,0.008817726,0.059529685,0.013693848
4115,88,0.693181818,0.306818182,0.091321017,0.88956283,0.008460569,0.010655584,0.93010255,0.018076045,0.018786416,0.033034989
4303,64,0.6875,0.3125,0.489026129,0.495736788,0.002178781,0.013058302,0.566626539,0,0.411950112,0.021423349
4401,109,0.697247706,0.302752294,0.349803522,0.578513738,0.024698046,0.046984694,0.624131894,0.000373694,0.323519829,0.051974583
4402,130,0.669230769,0.330769231,0.109315435,0.848545062,0.009354171,0.032785332,0.862808488,0.0091992,0.085746922,0.04224539
4501,59,0.711864407,0.288135593,0.121063773,0.824799065,0.016967149,0.037170013,0.915494434,0.000104071,0.013079037,0.071322459
4503,24,0.916666667,0.083333333,0.071404356,0.885552511,0.0142741,0.028769033,0.943256539,0.008096895,0.040541892,0.008104674
4504,158,0.664556962,0.335443038,0.119635182,0.842054411,0.005229332,0.033081075,0.844344805,0.021104581,0.071300775,0.063249839
4601,96,0.5,0.5,0.066362256,0.886297614,0.006729748,0.040610382,0.672792603,0,0.250684436,0.076522961
4602,134,0.701492537,0.298507463,0.208495364,0.762095653,0.01439228,0.015016703,0.861397711,0.012080035,0.054817001,0.071705253
4603,248,0.786290323,0.213709677,0.093781785,0.869160986,0.009816082,0.027241147,0.911133164,0.020850295,0.013452982,0.054563559
4604,113,0.681415929,0.318584071,0.07725052,0.889245449,0.001183301,0.03232073,0.882521255,0.016607599,0.061275109,0.039596037
4605,4,0.735849155,0.264150845,0.061109183,0.838146543,0.001030796,0.099713478,0.845744681,0,0.135638298,0.018617021
4606,222,0.797297297,0.202702703,0.165253286,0.782353074,0.021098926,0.031294714,0.717529887,0.001946518,0.273186539,0.007337055
4608,90,0.722222222,0.277777778,0.03787679,0.929794914,0.007211525,0.025116771,0.905762178,0.013211564,0.039556355,0.041469902
4609,87,0.735632184,0.264367816,0.257356936,0.707636635,0.007037804,0.027968625,0.60556807,0.000543265,0.291765299,0.102123366
4615,134,0.649253731,0.350746269,0.584681673,0.387876418,0.012379094,0.015062815,0.459475508,0.005548538,0.511253335,0.023722619
4618,142,0.661971831,0.338028169,0.558233658,0.433589735,0.003447507,0.0047291,0.531912507,0.007160875,0.452508792,0.008417826
4623,22,0.681818182,0.318181818,0.093745686,0.734227118,0.119529158,0.052498038,0.76147727,0.027842844,0.111626554,0.099053333
4624,91,0.714285714,0.285714286,0.112083154,0.760984912,0.074249495,0.052682439,0.735198496,0.029348397,0.118878936,0.116574171
4625,3,0.735849164,0.264150836,0.212714044,0.786971742,3.56E-05,0.000278614,0.899640414,0.025089924,0.007170559,0.068099102
4626,10,0.735848901,0.264151099,0.082578988,0.896955596,0,0.020465416,0.734419315,0,0.200297197,0.065283488
4627,53,0.698113208,0.301886792,0.17795029,0.799735378,6.92E-05,0.022245132,0.934571221,4.17E-07,0.037500442,0.027927919
4628,51,0.647058824,0.352941176,0.680890875,0.301213871,0.006518376,0.011376878,0.44626843,5.93E-07,0.552161668,0.001569308
