PRECINCT,TOTVOTE,P_JOHNS,P_SOTOP,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
3208,36,0.777777778,0.222222222,0.118811404,0.798975943,0.023779943,0.05843271,0.791077645,0,0.171813874,0.037108482
3305,206,0.781553398,0.218446602,0.096357736,0.878970931,0.004801112,0.019870221,0.816208562,0.024728124,0.102464901,0.056598412
3308,231,0.787878788,0.212121212,0.298703353,0.673557618,0.001039293,0.026699736,0.652330756,0.034650626,0.30034645,0.012672169
3309,151,0.529801325,0.470198675,0.38501486,0.270512181,0.30628885,0.038184109,0.264247219,0.450197978,0.244276968,0.041277835
3310,204,0.529411765,0.470588235,0.482595068,0.252061472,0.168702166,0.096641294,0.321721345,0.198189759,0.364813371,0.115275524
3313,85,0.905882353,0.094117647,0.082527313,0.895818582,0.012838931,0.008815174,0.9161918,0.035176242,0.001152482,0.047479475
3605,223,0.784753363,0.215246637,0.099109406,0.864029442,0.008909847,0.027951305,0.886649644,0.009047481,0.083828575,0.020474301
3701,157,0.656050955,0.343949045,0.337211201,0.326187056,0.305059401,0.031542342,0.391577475,0.283607108,0.262887275,0.061928142
3904,69,0.782608696,0.217391304,0.034054707,0.923316152,0.019180099,0.023449042,0.904291671,0.00703146,0.029199247,0.059477622
3905,81,0.790123457,0.209876543,0.159067414,0.797915418,0.009241622,0.033775546,0.901399808,0.031754621,0.017911407,0.048934164
4001,70,0.642857143,0.357142857,0.355316446,0.21649832,0.386522776,0.041662458,0.235200418,0.48547362,0.241388285,0.037937676
4101,94,0.808510638,0.191489362,0.255805737,0.701011761,0.012645413,0.030537089,0.853036643,0.016880569,0.028148124,0.101934664
4102,272,0.794117647,0.205882353,0.030519582,0.947085095,0.003936106,0.018459217,0.944756965,0.007111693,0.031657427,0.016473915
4104,169,0.763313609,0.236686391,0.377089018,0.589983613,0.00849735,0.024430019,0.586840882,0.006520005,0.272367776,0.134271338
4114,230,0.786956522,0.213043478,0.104456576,0.859629022,0.015844242,0.02007016,0.913864106,0.006128405,0.065957872,0.014049617
