PRECINCT,TOTVOTE,P_LEITA,P_GEARY,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,205,0.590243902,0.409756098,0.337066069,0.506159015,0.065509518,0.091265398,0.417513383,0.11091873,0.412519899,0.059047988
102,114,0.622807018,0.377192982,0.664726426,0.258440047,0.027939464,0.048894063,0.537637093,0.027000505,0.387882198,0.047480204
103,232,0.577586207,0.422413793,0.672752809,0.264747191,0.024578652,0.037921348,0.454207111,0.071469059,0.451986468,0.022337362
104,87,0.517241379,0.482758621,0.750623441,0.193266833,0.017456359,0.038653367,0.329432257,0.001342917,0.663827602,0.005397224
105,158,0.550632911,0.449367089,0.707383774,0.239744758,0.014585232,0.038286236,0.609949854,0.02939529,0.331337374,0.029317482
110,444,0.612612613,0.387387387,0.187937063,0.736888112,0.019230769,0.055944056,0.698866525,0.020429435,0.252920505,0.027783535
111,448,0.578125,0.421875,0.281456954,0.621854305,0.022516556,0.074172185,0.603199488,0.011639503,0.351449909,0.0337111
112,150,0.573333333,0.426666667,0.66969353,0.289443814,0.01816118,0.022701476,0.36565173,0.033379053,0.536555433,0.064413784
113,401,0.568578554,0.431421446,0.723337269,0.229830775,0.014954742,0.031877214,0.313279639,5.30E-07,0.603067843,0.083651988
116,315,0.542857143,0.457142857,0.23628692,0.689873418,0.015822785,0.058016877,0.748504745,0.028891916,0.212082464,0.010520875
118,189,0.608465608,0.391534392,0.278364116,0.617414248,0.023746702,0.080474934,0.649547491,0.040711254,0.289180437,0.020560818
120,378,0.552910053,0.447089947,0.767498977,0.180515759,0.015554646,0.036430618,0.277844379,0.031336766,0.671629024,0.019189831
123,115,0.626086957,0.373913043,0.612765957,0.34751773,0.015602837,0.024113476,0.582091602,0.038950123,0.322645011,0.056313264
124,219,0.488584475,0.511415525,0.531053733,0.376133985,0.027913468,0.064898814,0.387319918,0.026706891,0.560606548,0.025366643
126,321,0.573208723,0.426791277,0.777837838,0.144324324,0.01027027,0.067567568,0.152304939,0.041141351,0.678961349,0.127592361
127,486,0.526748971,0.473251029,0.463414634,0.476388168,0.016087182,0.044110016,0.530909837,5.06E-05,0.415049497,0.053990066
129,328,0.56402439,0.43597561,0.44079516,0.499567848,0.017286085,0.042350907,0.382577087,0.022427418,0.51080025,0.084195245
130,681,0.596182085,0.403817915,0.226804124,0.692654639,0.011597938,0.068943299,0.639254754,0.025839519,0.257410467,0.07749526
132,306,0.640522876,0.359477124,0.240384615,0.723557692,0.009615385,0.026442308,0.578766575,7.00E-06,0.361044446,0.060181979
