PRECINCT,SS18_ARDOIN,SS18_COLLINS,SS18TOT,CC18_DUGAS,CC18_WILLIAMS,CC18_POOLE,CC18_RILEY,CC18_SMITH,CC18_WESLEY,CC18TOT
2206325,127,22,149,274,279,260,165,284,270,1532
2206326,135,17,152,355,383,364,234,389,406,2131
2206326A,161,58,219,210,233,257,152,233,231,1316
2206326B,104,21,125,175,192,174,101,193,189,1024
2206326C,135,18,153,44,50,64,23,45,48,274
2206327,144,248,392,115,109,113,293,126,120,876
2206328A,75,15,90,163,154,181,110,183,186,977
2206328B,29,3,32,56,57,60,36,65,58,332
