PRECINCT,SS19_ARDOIN,SS19_COLLINS,SS19TOT
2206325,220,30,250
2206326,243,44,287
2206326A,208,83,291
2206326B,194,37,231
2206326C,178,37,215
2206327,207,251,458
2206328A,159,34,193
2206328B,39,7,46
