PRECINCT,LG15D,LG15R,LG15TOT
2206325,140.0,321.0,461.0
2206326,161.0,347.0,508.0
2206326A,160.0,268.0,428.0
2206326B,110.0,248.0,358.0
2206326C,102.0,222.0,324.0
2206327,340.0,312.0,652.0
2206328A,117.0,234.0,351.0
2206328B,26.0,70.0,96.0
