PRECINCT,PRES12D,PRES12R,PRES12TOT,AJ12D,AJ12R,AJ12TOT
2206325,96,575,671,27,224,251
2206326,73,688,761,24,270,294
2206326A,120,550,670,42,146,188
2206326B,53,497,550,17,180,197
2206326C,54,500,554,3,113,116
2206327,451,440,891,137,137,274
2206328A,64,544,608,18,165,183
2206328B,12,135,147,0,52,52
