PRECINCT,CC14_DAVIS,CC14_DELA,CC14_DN,CC14_KIMBLE,CC14_LW,CC14_LANDRY,CC14_LITTLE,CC14_POOLE,CC14_ROSS,CC14_SHUPE,CC14_STARK,CC14_WESLEY,CC14TOT
2206325,243,252,262,190,318,128,83,278,158,66,97,320,2395
2206326,248,291,265,218,378,139,92,323,176,89,106,415,2740
2206326A,133,142,123,119,178,136,40,280,120,44,66,208,1589
2206326B,132,122,94,120,175,57,29,125,118,45,67,162,1237
2206326C,32,24,23,19,37,16,6,62,26,8,21,38,323
2206327,108,90,84,77,98,323,40,83,72,38,57,106,1176
2206328A,188,179,170,193,193,108,64,184,178,39,189,242,1927
2206328B,48,51,36,54,57,17,13,61,35,22,51,73,518
