PRECINCT,TRES17D,TRES17R,TRES17T,CC17_RILEY,CC17_SMITH,CC17TOT
2206325,21.0,110.0,105,39.0,70.0,106
2206326,24.0,186.0,186,72.0,119.0,188
2206326A,49.0,125.0,155,58.0,74.0,129
2206326B,19.0,96.0,91,21.0,57.0,75
2206326C,9.0,70.0,59,6.0,15.0,18
2206327,164.0,97.0,210,169.0,25.0,188
2206328A,11.0,68.0,58,13.0,49.0,59
2206328B,3.0,24.0,22,4.0,18.0,22
